fecha;Gigawatt-hora
2002-01-01;314.2
2002-02-01;302.25
2002-03-01;380.93
2002-04-01;361.8
2002-05-01;308.43
2002-06-01;288.3
2002-07-01;295.56
2002-08-01;298.06
2002-09-01;284.72
2002-10-01;312.91
2002-11-01;314.02
2002-12-01;344.45
2003-01-01;376.67
2003-02-01;350.46
2003-03-01;387.91
2003-04-01;372.34
2003-05-01;332.42
2003-06-01;311.3
2003-07-01;319.45
2003-08-01;319.35
2003-09-01;317.98
2003-10-01;322.91
2003-11-01;311.69
2003-12-01;327.88
2004-01-01;327.84
2004-02-01;349.96
2004-03-01;356.09
2004-04-01;328.84
2004-05-01;358.28
2004-06-01;417.88
2004-07-01;424.41
2004-08-01;410.72
2004-09-01;452.06
2004-10-01;423.21
2004-11-01;452.09
2004-12-01;469.03
2005-01-01;483.79
2005-02-01;426.31
2005-03-01;498.1
2005-04-01;467.99
2005-05-01;527.45
2005-06-01;537.27
2005-07-01;571.63
2005-08-01;566.49
2005-09-01;578.01
2005-10-01;427.79
2005-11-01;511.69
2005-12-01;531.67
2006-01-01;449.77
2006-02-01;469.01
2006-03-01;492.83
2006-04-01;403.09
2006-05-01;472.04
2006-06-01;558.99
2006-07-01;608.1
2006-08-01;612.9
2006-09-01;541.87
2006-10-01;609.2
2006-11-01;565.8
2006-12-01;588.49
2007-01-01;693.22
2007-02-01;627.63
2007-03-01;749
2007-04-01;689.34
2007-05-01;746.62
2007-06-01;766.32
2007-07-01;896.76
2007-08-01;867.03
2007-09-01;866.59
2007-10-01;883.63
2007-11-01;876.89
2007-12-01;877
2008-01-01;747.36
2008-02-01;866.83
2008-03-01;941.23
2008-04-01;886.31
2008-05-01;992.19
2008-06-01;990.54
2008-07-01;1021.31
2008-08-01;1034.06
2008-09-01;1005.75
2008-10-01;995.9
2008-11-01;978.81
2008-12-01;988.91
2009-01-01;1065.96
2009-02-01;961.77
2009-03-01;1160.38
2009-04-01;1070.66
2009-05-01;1118.1
2009-06-01;984.25
2009-07-01;1011.57
2009-08-01;1077.44
2009-09-01;1026.56
2009-10-01;1055.21
2009-11-01;1009.33
2009-12-01;1049.74
2010-01-01;997.54
2010-02-01;986.69
2010-03-01;1156.4
2010-04-01;1134.28
2010-05-01;1241.41
2010-06-01;1317.75
2010-07-01;1379.24
2010-08-01;1381.59
2010-09-01;1412.14
2010-10-01;1421.32
2010-11-01;1390.01
2010-12-01;1347.43
2011-01-01;1372.08
2011-02-01;1294.12
2011-03-01;1414
2011-04-01;1386.62
2011-05-01;1457.3
2011-06-01;1500.79
2011-07-01;1529.38
2011-08-01;1601.23
2011-09-01;1560.31
2011-10-01;1584.51
2011-11-01;1538.42
2011-12-01;1530.35
2012-01-01;1454.13
2012-02-01;1521.02
2012-03-01;1694.66
2012-04-01;1525.7
2012-05-01;1555.66
2012-06-01;1595.42
2012-07-01;1683.95
2012-08-01;1751.35
2012-09-01;1711.61
2012-10-01;1699.8
2012-11-01;1641.03
2012-12-01;1684.98
2013-01-01;1635.63
2013-02-01;1650.61
2013-03-01;1702.59
2013-04-01;1707.87
2013-05-01;1864.35
2013-06-01;1862.51
2013-07-01;1854.31
2013-08-01;1960.32
2013-09-01;1985.25
2013-10-01;1940.44
2013-11-01;1873.2
2013-12-01;1804.01
2014-01-01;1927.05
2014-02-01;1884.33
2014-03-01;2214.88
2014-04-01;1968.91
2014-05-01;2077.56
2014-06-01;2208.78
2014-07-01;2262.47
2014-08-01;2229.53
2014-09-01;2077.21
2014-10-01;2119.37
2014-11-01;2033.93
2014-12-01;1982.63
2015-01-01;1978.11
2015-02-01;1874.9
2015-03-01;2291.55
2015-04-01;1957
2015-05-01;1985.04
2015-06-01;2203.28
2015-07-01;2327.69
2015-08-01;2315.12
2015-09-01;2238.73
2015-10-01;2364.03
2015-11-01;2086.05
2015-12-01;2089.7
2016-01-01;1958.24
2016-02-01;2111.01
2016-03-01;2163.51
2016-04-01;2042.07
2016-05-01;2368.7
2016-06-01;2330.28
2016-07-01;2467.72
2016-08-01;2440.56
2016-09-01;2385.86
2016-10-01;2282.95
2016-11-01;2534.12
2016-12-01;2349.96
2017-01-01;1923.56
2017-02-01;1644.13
2017-03-01;1975.65
2017-04-01;1738.64
2017-05-01;1800.64
2017-06-01;1936.62
2017-07-01;2124.41
2017-08-01;2297.26
2017-09-01;2078.82
2017-10-01;2172.2
2017-11-01;2092.93
2017-12-01;1940.79
2018-01-01;1686.36
2018-02-01;1485.07
2018-03-01;1930.13
2018-04-01;1657.06
2018-05-01;1923.7
2018-06-01;2209.3
2018-07-01;2315.42
2018-08-01;2297.14
2018-09-01;2497.46
2018-10-01;2122.58
2018-11-01;1845.62
2018-12-01;2215.64
2019-01-01;2049.46
2019-02-01;1726.55
2019-03-01;2034.95
2019-04-01;1752.07
2019-05-01;2032.29
2019-06-01;2363.73
2019-07-01;2542.69
2019-08-01;2696.88
2019-09-01;2628.89
2019-10-01;2514.34
2019-11-01;2153.96
2019-12-01;1922.77
2020-01-01;1852.89
2020-02-01;1850.78
2020-03-01;1451.28
2020-04-01;802.6
2020-05-01;1053.4
2020-06-01;1841.38
2020-07-01;2313.8
2020-08-01;2564.08
2020-09-01;2533.14
2020-10-01;2597.91
2020-11-01;2755.27
2020-12-01;2265.16
2021-01-01;1754.47
2021-02-01;1694.96
2021-03-01;1992.83
2021-04-01;1687.02
2021-05-01;2194.76
2021-06-01;2485.98
2021-07-01;2636.6
2021-08-01;2766.41
2021-09-01;2766.28
2021-10-01;2567.86
2021-11-01;2365.22
2021-12-01;2099.24
